Find people;Company Name;First Name;Last Name;Full Name;Job Title;Location;Company Domain;LinkedIn Profile;Get a person's professional post comments;Created At - Comments;Text;Get a person's professional post reactions;Created At - Post - Reactions;2026 Mention
;Mailtrap;Sergiy;Korolov;Sergiy Korolov;CEO, Co-founder;United States, United States;mailtrap.io;https://www.linkedin.com/in/sergiykorolov/;✅ 1 comment found;2026-04-28T08:08:55.197Z;and where is this conf is going to be?;✅ 1 reaction found;2026-04-28T05:39:20.672Z;Yes
;Greenly | Certified B Corp;Alexis;Normand;Alexis Normand;CEO & Co-founder (we're hiring!);New York, New York, United States;greenly.earth;https://www.linkedin.com/in/alexis-normand-aa573b15/;✅ 1 comment found;2026-04-28T06:38:27.999Z;To read more about it: https://www.euronews.com/2026/04/21/important-threshold-crossed-as-renewables-meet-worlds-energy-demands-and-fossil-power-drop;✅ 1 reaction found;2026-04-27T22:21:38.373Z;Yes
;Bevy;Derek;Andersen;Derek Andersen;Co-Founder/CEO;Palo Alto, California, United States;bevy.com;https://www.linkedin.com/in/derek-andersen-5718b9/;✅ 1 comment found;2026-04-28T05:56:07.144Z;Excited to have you Dani!;✅ 1 reaction found;2026-04-28T05:56:39.224Z;Yes
;Sendoso;Abhay;Rajaram;Abhay Rajaram;co-CEO;San Jose, California, United States;sendoso.com;https://www.linkedin.com/in/abhay-rajaram-574242/;✅ 1 comment found;2026-04-28T05:53:56.032Z;Wait - An opportunity to meet Cody Farmer Max Child AND Paige Jackson at one time - How is that even legally allowed? Isn’t there some rule about too much star power in one place or something?? Go Team Sendoso!!;✅ 1 reaction found;2026-04-28T07:38:42.485Z;Yes
;Channel Talk;Josh;Kim;Josh Jaehong Kim;Co-Founder & Ceo(US);New York, New York, United States;channel.io;https://www.linkedin.com/in/josh-jaehong-kim-b3811726/;✅ 1 comment found;2026-04-28T04:31:30.229Z;Amazing news! Congrats!;✅ 1 reaction found;2026-04-28T04:31:29.885Z;Yes
;Osano;Arlo;Gilbert;Arlo Gilbert;Founder;Austin, Texas, United States;osano.com;https://www.linkedin.com/in/arlogilbert/;✅ 1 comment found;2026-04-28T04:29:01.128Z;Solid advice. Founding a company is a life swallowing test of obession.;✅ 1 reaction found;2026-04-27T19:45:40.267Z;Yes
;InCountry;Pierre-R.;Wolff;Pierre-R. Wolff;Chief Business Officer/Co-founder;San Francisco Bay Area, United States;incountry.com;https://www.linkedin.com/in/pierre/;✅ 1 comment found;2026-04-28T04:27:41.302Z;Is Ken Goldberg advising this team in any way?  This is definitely an area of strength and interest for him.;✅ 1 reaction found;2026-04-28T07:45:53.658Z;Yes
;RhythmX AI;Deepthi;Bathina;Deepthi Bathina;CEO and Founder, RhythmX AI (merged with Get Well to form GW RhythmX);Greater Boston, United States;rhythmx.ai;https://www.linkedin.com/in/deepthibathina/;✅ 1 comment found;2026-04-28T04:23:30.816Z;Congrats Dr. Shafer! Great recognition for an outstanding leader who is truly mission-driven!! ;✅ 1 reaction found;2026-04-28T04:25:14.970Z;Yes
;SecurityPal AI;Pukar;Hamal;Pukar C. Hamal;Founder and CEO;San Francisco, California, United States;securitypalhq.com;https://www.linkedin.com/in/pukarhamal/;✅ 1 comment found;2026-04-28T03:31:03.537Z;Great seeing you there Honorable Dadhiram Bhandari sir! ;✅ 1 reaction found;2026-04-28T06:07:22.865Z;Yes
;ViewLift;Rick;Allen;Rick Allen;Founding CEO;Bethesda, Maryland, United States;viewlift.com;https://www.linkedin.com/in/rick-allen-935b953/;✅ 1 comment found;2026-04-28T03:06:25.505Z;Way to go NESN !;✅ 1 reaction found;2026-04-28T03:07:00.534Z;Yes
;ITTRackNap;Munesh;Jadoun;Munesh Jadoun;Co-Founder and CEO;Meridian, Idaho, United States;racknap.com;https://www.linkedin.com/in/muneshjadoun/;✅ 1 comment found;2026-04-28T02:17:40.082Z;Congratulations and all the best Ashish. Well deserved ;✅ 1 reaction found;2026-04-28T02:37:27.052Z;Yes
;Corent Technology, Inc.;Feyzi;Fatehi;Feyzi Fatehi;Chairman, CEO;Aliso Viejo, California, United States;corenttech.com;https://www.linkedin.com/in/feyzi-fatehi-0b79/;✅ 1 comment found;2026-04-28T00:45:41.636Z;;✅ 1 reaction found;2026-04-28T00:34:02.109Z;Yes
;LeagueApps;Brian;Litvack;Brian Litvack;CEO and Co-Founder;New York, New York, United States;leagueapps.com;https://www.linkedin.com/in/brian-litvack-619a921/;✅ 1 comment found;2026-04-28T00:28:32.528Z;Congrats Ryan Harwood ;✅ 1 reaction found;2026-04-28T04:24:49.234Z;Yes
;LiftLab;John;Wallace;John Wallace;CEO;New York, New York, United States;liftlab.com;https://www.linkedin.com/in/johnwallace-/;✅ 1 comment found;2026-04-27T23:01:08.782Z;🙏;✅ 1 reaction found;2026-04-27T22:33:30.145Z;Yes
;Nosto;Jim;Lofgren;Jim Lofgren;President & CEO;New York, New York, United States;nosto.com;https://www.linkedin.com/in/jimlofgren/;✅ 1 comment found;2026-04-27T22:49:16.342Z;Grattis Andreas, och tack för allt du gjort för Kjell & Co! ;✅ 1 reaction found;2026-04-27T22:48:59.965Z;Yes
;Opkey;Pankaj;Goel;Pankaj Goel;Co-Founder & CEO;Dallas, Texas, United States;opkey.com;https://www.linkedin.com/in/pankajunlimited/;✅ 1 comment found;2026-04-27T22:39:47.434Z;Welcome to the team Brenda Acevedo ;✅ 1 reaction found;2026-04-27T22:39:34.362Z;Yes
;120Water;Megan;Glover;Megan Casey Glover;CoFounder & CEO;United States, United States;120water.com;https://www.linkedin.com/in/megan-casey-glover-a748284/;✅ 1 comment found;2026-04-27T21:53:16.365Z;Congratulations! Over 400 attendees is incredible!;✅ 1 reaction found;2026-04-27T21:57:20.248Z;Yes
;PathFactory;Dev;Ganesan;Dev Ganesan;President & CEO;Washington, District of Columbia, United States;pathfactory.com;https://www.linkedin.com/in/dev-ganesan-93789a14/;✅ 1 comment found;2026-04-27T21:38:10.888Z;Congrats Anil Chakravarthy on another super summit!;✅ 1 reaction found;2026-04-28T01:36:09.235Z;Yes
;Invoca;Gregg;Johnson;Gregg Johnson;CEO;San Francisco, California, United States;invoca.com;https://www.linkedin.com/in/gregg-johnson-b361a3/;✅ 1 comment found;2026-04-27T20:39:14.598Z;Congrats Priscilla M. 😁🔥👍;✅ 1 reaction found;2026-04-28T01:18:56.681Z;Yes
;Leads Genius;Adriana;Bennett;Adriana Bennett;Co-Founder and Creative Business Strategist;Los Angeles, California, United States;leadsgenius.net;https://www.linkedin.com/in/adriana-bennett-aab055a8/;✅ 1 comment found;2026-04-27T20:18:12.280Z;Fintech and insurance at enterprise scale reporting to C-suite leadership — the environments being among the most demanding operating contexts available. Building the Integrator function there being the test that matters.;✅ 1 reaction found;2026-04-27T20:08:10.863Z;Yes
;Spiky.AI;Burak;Aksar;Burak Aksar, PhD;Co-Founder and CTO;United States, United States;spiky.ai;https://www.linkedin.com/in/burakaksar/;✅ 1 comment found;2026-04-27T20:17:17.067Z;Excited to be part of it! Spiky.AI;✅ 1 reaction found;2026-04-28T03:37:14.390Z;Yes
;Retell AI;Evie;Wang;Evie Wang;Co-Founder & CMO;San Francisco Bay Area, United States;retellai.com;https://www.linkedin.com/in/yanwang131415/;✅ 1 comment found;2026-04-27T19:16:02.639Z;can't wait 👀;✅ 1 reaction found;2026-04-27T19:13:37.135Z;Yes
